OpenAI,Azure,Caption,Label,OpenAI_Conf,OpenAI_Azure_Conf,Azure_Conf,Animal,Building,Indoor,Outdoor,People
A prominent example is a festival in which an image of Hathor from the Dendera Temple complex was brought annually to visit the Temple of Edfu,a group of writings on a table,Priests carrying a festival barque in a relief from the Ramesseum. Thirteenth century BC.,1,0.3623,3.27E-05,0.3455095887,0,1,0,0,0
they were associated with the god because it was depicted in the form of that animal,a drawing of a deer," The Apis, depicted on a coffin. Eleventh to tenth century BC.",2,0.5107,0.005676,0.4233544469,0,0,0,1,0
"[119]
The Egyptians also interacted with deities through the donation of offerings",a statue of a person,Votive statue of a man donating a shrine containing a figure of Osiris. Thirteenth to eleventh century BC.,1,0.4827,0.001824,0.5322909951,0,0,0,0,0
during the early years of commemorative coinage,a silver coin with a skull,The 1999 Connecticut entry in the 50 State Quarters series also displays the Charter Oak.,2,0.731,0.01666,0.3659493029,0,0,0,0,0
Below the ground that surrounds the base of the tree is CONNECTICUT 1635–1935; surrounding the Charter Oak are its name,a large tree in a field,Charles Brownell's painting of the Charter Oak,2,0.3254,0.1197,0.5373228788,0,0,0,0,0
[23] The United States Post Office Department issued a three-cent stamp for the anniversary on April 26,a close-up of a card," The three-cent stamp issued for the Connecticut Tercentenary, displaying the Charter Oak",1,0.998,1.62E-05,0.4670903385,0,0,0,0,0
a green adult eastern green mamba on a tree branch,a green snake on a tree branch,An eastern green mamba,1,0.1681,0.135,0.3338089883,0,0,0,1,0
"[22]
There is no evidence that the eastern green mamba migrates",a green snake on a log,A green mamba at a German serpentarium next to shed skin,2,0.5586,0.0473,0.4443134367,0,0,0,0,0
[25] Although the most commonly encountered green mamba,a green snake on a tree branch,The eastern green mamba has a rapid-acting venom.,2,0.263,0.0286,0.436273247,0,0,0,0,0
[82] He plays basketball,a group of men playing tennis," Obama takes a left-handed jump shot during a pickup game on the White House basketball court, 2009",1,0.651,0.002876,0.5172275901,0,0,0,1,1
[161] He introduced two initiatives that bore his name: Lugar–Obama,a man talking to a man,Obama and U.S. Senator Richard Lugar (R-IN) visit a Russian facility for dismantling mobile missiles (August 2005)[167],2,0.427,0.07306,0.4196131527,0,0,0,0,1
Obama announced his candidacy for President of the United States in front of the Old State Capitol building in Springfield,a group of people standing outside," Obama on stage with his wife and daughters just before announcing his presidential candidacy in Springfield, Illinois, February 10, 2007",1,0.8867,7.06E-05,0.3278580904,0,0,0,1,1
The inauguration of Barack Obama as the 44th President took place on January 20,a group of people in suits," Obama takes the oath of office administered by Chief Justice John G. Roberts Jr. at the Capitol, January 20, 2009",1,0.9824,0.001622,0.479744941,0,0,0,0,1
Obama signed the bipartisan Budget Control Act of 2011,Barack Obama in a suit,"Play media Obama presents his first weekly address as President of the United States on January 24, 2009, discussing the American Recovery and Reinvestment Act of 2009",1,0.1605,0.0794,0.5680795312,0,0,0,0,1
[320] Obama signed the bill into law on March 23,a group of people standing around a podium," Obama signs the Patient Protection and Affordable Care Act at the White House, March 23, 2010.",1,0.4717,0.005756,0.4517786205,0,0,0,0,1
"""[374] The Obama administration scheduled the withdrawal of combat troops to be completed by August 2010",a person in a suit talking to a person in a wheelchair,Meeting with UK Prime Minister David Cameron during the 2010 G20 Toronto summit,1,0.451,0.010284,0.4555129111,0,0,0,0,1
[393] Obama supports the two-state solution to the Arab–Israeli conflict based on the 1967 borders with land swaps,a person shaking another man's hand," Obama meeting with Israeli President Shimon Peres in the Oval Office, May 2009",1,0.3667,0.001836,0.5579718351,0,0,0,0,1
Barack Obama in a suit,Barack Obama in a suit,Play media President Obama's address (9:28)Also available: Audio only; Full text ,2,0.2747,0.2747,0.5125826001,0,0,0,0,1
Obama became the first President of the United States to address both houses of the UK Parliament in Westminster Hall,a group of people posing for a photo,G8 leaders watching the 2012 UEFA Champions League Final,1,0.6177,0.00123,0.5628013015,0,0,0,0,1
Biden announced the formation of a task force to advise him on the COVID-19 pandemic during the transition,a group of soldiers walking,,1,0.4998,0.04367,0.3992953598,0,0,0,0,0
Biden advocated for further gun regulations,a man in a suit standing at a podium in front of a flag,"Play media President Biden delivers a national address on gun control after the 2021 Boulder shooting, March 23, 2021.",1,0.3528,0.2107,0.4982979298,0,0,0,0,1
"
Forging uses seven basic operations or techniques:
These operations generally require at least a hammer and anvil",a person standing in front of a fire,"Play media A blacksmith forging in Brazil, in 2015",2,0.272,0.04877,0.4148360789,0,0,0,0,0
) have also come to be used as fuels for blacksmithing,a room with a large brick fireplace," Jesse Hoover blacksmith shop, Herbert Hoover National Historic Site",2,0.5205,0.00939,0.2316040844,0,0,0,1,0
One World Trade Center is principally owned by the Port Authority of New York and New Jersey,a tall tower with a body of water in the background,Seen at sunset; the Verrazzano-Narrows Bridge is in the background,2,0.9106,0.000898,0.4855921566,0,1,0,1,0
A areas surrounding Santa Maria DE Vila initiated on a area surrounding Santa Maria DE Vila initiated,a blue sign on a wood surface,Enameled monastery sign shows damage,2,0.3677,0.1556,0.4719541967,0,0,0,0,0
a few buildings remain of the original monastery in Spain,a building with a large archway,The ruins of the monastery in Spain,1,0.7812,0.004505,0.2391794026,0,1,0,0,0
[41] Other stones were used for various purposes around Golden Gate Park and the Japanese Tea Garden,a stone wall with a stone walkway,Monastery stones in Golden Gate Park,2,0.855,0.001599,0.1636261493,0,0,0,1,0
"""[36] The reassembled chapter house is the largest example of original Cistercian Gothic architecture in the Western Hemisphere",a large room with a large window,View from inside the rebuilt 800-year-old chapter house,1,0.716,0.001591,0.2760895193,0,1,1,0,0
"[13]
In February 1858 Beato arrived in Calcutta and began travelling throughout Northern India to document the aftermath of the Indian Rebellion of 1857",a building with people and horses," The ruins of Sikandar Bagh palace showing the skeletal remains of rebels in the foreground, Lucknow, India, 1858",1,0.6523,0.0008655,0.2309707999,0,1,0,0,0
as the photographs of dead Chinese had to be taken first—before the bodies were removed; only then was Beato free to take the other views of the exterior and interior of the forts,a large construction site,Interior of Fort Taku immediately after capture 21 August 1860,2,0.579,0.003336,0.223090902,0,0,0,1,0
where he employed ten artisans including his two brothers Zhengxin and Zhengxing (正行,a building with a sign on the wall,Hu's former residence in Xiuning,1,0.2407,0.002592,0.3350437582,0,1,0,0,0
駢體) used in the Imperial examinations,text,Examples of Hu Zhengyan's seal carving,2,0.425,0.000288,0.5802873969,0,0,0,0,0
he was able to produce some of China's first printed publications in colour,a cup of ice cream with a cherry on top," Fruit (Persimmon and Three Yellow Tangerines) from the Ten Bamboo Studio Manual of Painting and Calligraphy, showing the colour gradation achieved through Hu Zhengyan's printing methods.",2,0.5205,0.000183,0.3360579908,0,0,0,0,0
Although the settlement of Warkworth in Northumberland dates back to at least the 8th century,a stone building with a grassy area in front of it,Warkworth Castle's gatehouse (left) dates mostly from the 13th century.,2,0.2678,0.0004494,0.3421186805,0,1,0,1,0
"[34]
The details surrounding Warkworth Castle's role in the English Civil War are unclear",a castle on a hill with Warkworth Castle in the background," The keep was built by Henry Percy, 1st Earl of Northumberland.",1,0.289,0.03244,0.4785281718,0,1,0,1,0
the owners decided not to renovate Warkworth Castle after the estimate to add battlements,a castle with people standing in front of it,The castle has been in the care of English Heritage since 1984.,2,0.5625,0.01364,0.3617082834,0,1,0,1,0
[44] The current keep was built on an earlier mound,diagram,The keep at the north end of the castle dates from the late 14th century. Warkworth Castle's main entrance was through a gatehouse in the south. The curtain walls date from the early 13th century.,1,0.2886,0.02643,0.9978631735,0,0,0,0,0
a stone archway with a cross on top,a stone archway with a cross on top,The 15th-century Lion TowerThe remains of the Little Stair Tower,1,0.1918,0.1918,0.3605656624,0,1,0,0,0
[63] Kitchens occupied the west side of the first floor and were connected via staircases to the stores immediately below,engineering drawing," Plan of the keep's first floor from The Growth of the English House by John Alfred Gotch, 1909. North is on the left. 1 vestibule (leading from entrance in basement); 2 hall; 3 chapel; 4 great chamber; 5 kitchens; 6 pantry and buttery.",1,0.2656,0.000321,0.6923337579,0,0,0,0,0
as Renault from 2002 until 2011 and as Lotus from 2012 until 2015) after being an engine supplier to Benetton since 1995,a large truck with a large banner on the side," McLaren renewed their co-operation with Japanese manufacturer Honda, twenty-three years since they last competed together. Pictured is the McLaren MP4/6, one of the last cars built by McLaren to use a Honda engine, racing at the 1991 United States Grand Prix.",2,0.4219,1.22E-05,0.3343724906,0,0,0,1,0
Sebastian Vettel wearing a hat,Sebastian Vettel wearing a hat,Sebastian Vettel (pictured in 2012) left Red Bull Racing – the team with which he won four World Drivers' Championships – at the end of the 2014 season to join Ferrari.,2,0.2776,0.2776,0.5790928602,0,0,0,0,1
"The following nineteen Grands Prix took place in 2015:[52]
a world map with countries/regions in different countries/regions",a world map with countries/regions in different countries/regions," Nations that hosted a Grand Prix in 2015 are highlighted in green, with circuit locations marked with black dots. Former host nations are shown in dark grey, and former host circuits are marked with white dots.",1,0.644,0.11725,0.3255786896,0,0,0,0,0
a black background with white dots,a black background with white dots,"Comparison between the configuration of the Autódromo Hermanos Rodríguez last used by Formula One in 1992 (top), and the redeveloped layout used from 2015 (bottom).",1,0.2786,0.2786,0.3338423371,0,0,0,1,0
with new power unit manufacturers being allowed one other power unit in their first season of competition; the only manufacturer affected in the 2015 season was Honda,race cars on a track,Sparks returned in 2015 due to titanium skid blocks attached to the underside of the cars.,2,0.554,0.0705,0.6190908551,0,0,0,1,0
a race car on a track,a race car on a track," Max Verstappen (pictured at the Malaysian Grand Prix) set two records in his first two races: youngest driver to start a race, and youngest driver to score points.",1,0.2039,0.2039,0.5382112265,0,0,0,1,0
Sebastian Vettel in a red suit,Sebastian Vettel in a red suit," In Malaysia, Sebastian Vettel secured Ferrari's first victory since the 2013 Spanish Grand Prix and his first victory since the 2013 Brazilian Grand Prix.",2,0.2397,0.2397,0.4699811041,0,0,0,0,1
A two would trade victories of championship remained closely contested on a next three races,a group of race cars on a track,Nico Rosberg leads the field on the opening lap of the Spanish Grand Prix. He would go on to win the race.,2,0.1345,0.09393,0.5743679404,0,0,0,1,0
[137] Vettel capitalised on the results with third and second-place finishes respectively,a race car on a track," American Alexander Rossi, seen here driving at his home race, made his Formula One race debut at the Singapore Grand Prix.",1,0.2285,0.006283,0.6331650615,0,0,0,1,0
but also the FIA Pole Trophy for most pole positions of the season[144] and the DHL Fastest Lap Award,"graphical user interface, application"," Nico Rosberg finished the season ranked second for Mercedes, 59 points behind Hamilton.",1,0.7095,3.90E-06,0.9158161283,0,0,0,1,0
The screenplay for Ruma Maida was written by Ayu Utami,Ayu Utami smiling for the camera,Ayu Utami wrote the script over a period of six months. Ruma Maida was her first screenplay.,2,0.7036,0.04642,0.5544688702,0,0,0,0,1
[26] Jakarta Globe reviewer Armando Siahaan noted that several plot lines run parallel,a collage of a person," Ruma Maida uses a sepia overlay and static camera for events happening in the past, with more natural tones and different angles for events in the present. Some plot points, such as the marriages between Ishak and Nani (top), as well as Sakera and Maida (bottom), run parallel.",1,0.4495,0.0001532,0.5230378509,0,0,0,0,1
Salvia yangii is a deciduous perennial subshrub with an erect to spreading habit,a close up of flowers," Flowers, showing the hair-covered calyx, tube-shaped corolla, and exserted style",2,0.7725,0.007694,0.4545080364,0,0,0,0,0
[29] Other cultivars include 'Blue Haze',a close up of a plant,The 'Blue Spire' cultivar,2,0.4443,0.02797,0.4928052127,0,0,0,0,0
 atriplicifolia  had gained widespread popularity,a drawing of a bouquet of flowers,Illustration from Curtis's Botanical Magazine in 1912,2,0.6753,0.05902,0.4445940256,0,0,0,0,0
Russian sage has been praised for its usefulness in gardens and landscaping features,a garden of plants," In Raton, New Mexico, showing the airy appearance of the plant",2,0.9966,3.34E-06,0.2263231426,0,0,0,0,0
a dirt path with purple flowers,a dirt path with purple flowers," Used as a border in the Trauttmansdorff Castle Gardens, Italy",1,0.3242,0.3242,0.3828013539,0,0,0,1,0
[3] The party had become stranded on the wrong side of the Coppermine River after their boats had been destroyed in a storm; John Richardson had attempted to swim to safety and suffered severe hypothermia,a wave crashing on a rocky beach,The destruction of John Franklin's canoes in a storm inspired Halkett to search for more robust and portable alternatives to traditional wooden boats.,1,0.2025,0.000596,0.3906333148,0,0,0,1,0
The lining of the cloak contained an airtight and watertight inflatable ovoid,diagram," The Halkett boat-cloak furled as a cloak, and unfurled as an inflatable boat",1,0.555,0.011894,0.9944326878,0,0,0,1,0
" and that ""although in constant use for upwards of six weeks on a rocky coast it never required the slightest repair"" and ""ought to form part of the equipment of every expedition""",a couple of tires," A two-man Halkett boat, with and without its canvas cover",1,0.2695,5.57E-05,0.3464875817,0,0,0,0,0
a book-length story that had appeared in the June 1950 Fantastic Adventures,a magazine with a cartoon of a lobster on it," The first issue under the new title, Space Travel, dated July 1958.  The cover art is by Malcolm Smith.[14]",1,0.7036,0.002348,0.2784731388,0,0,0,1,0
Mill Creek continues east through the Mechanicsburg Gap in Mill Creek Mountain at Mechanicsburg and joins the South Branch Potomac River,a river with trees and grass around it,Mill Creek near Junction,1,0.579,0.003134,0.3756617308,0,0,0,0,0
The Sloan family sold the stone house and 900 acres (360 ha) of surrounding land to brothers John Peyton Parker,a house with a stone wall and a fence in front of it," North and west elevations, July 2016",1,0.3755,0.02556,0.3956730068,0,0,0,1,0
a house with a stone wall,a house with a stone wall," North and west elevations, July 2016",1,0.223,0.223,0.3094865382,0,1,0,1,0
"[15][16]
Mycena haematopus can be parasitized by Spinellus fusiger",a snake with a snake,Young fruit bodies are pruinose—as if covered with a fine white powder.Cut or injured mushroom tissue oozes a reddish latex.,1,0.4482,0.0002766,0.2064082325,0,0,0,1,0
Mycena haematopus is known to be distributed from Alaska southward,a group of mushrooms growing on a tree stump,Fruit bodies typically grow in clusters joined at a common base.,2,0.7188,0.01828,0.4644148946,0,0,0,0,0
[35] A chemical synthesis for haematopodin was reported in 1996,a group of light bulbs,Haematopodin B (left) and its more stable breakdown product Haematopodin (right),1,0.3718,0.003704,0.3463439643,0,0,0,0,0
1801 had seen the description of Agaricus sinuatus by Christian Persoon in his Synopsis Methodica Fungorum,a group of mushrooms," Bulliard's original illustration of Agaricus lividus from his 1788 Champignon de la France, which has been found to be a depiction of Pluteus cervinus.[2]",2,0.1771,0.0236,0.4505521655,0,0,0,0,0
The mushroom's strong and unusual odor can be hard to describe; it may smell of flour,a mushroom growing on a tree,The gills of mature mushrooms darken to pink and then red.,2,0.7744,0.02266,0.4917384088,1,0,0,0,0
Metarchidiskodon,a close-up of a black and white striped fabric,1863 lithograph of the partial holotype molar from Georgia,2,0.2153,0.10333,0.3656058311,0,0,0,0,0
this species was replaced by the steppe mammoth (M,a skeleton of a dinosaur," One of the largest mounted mammoth skeletons in the world, nicknamed ""Archie"", at Nebraska State Museum of Natural History, is the type specimen of the junior synonym Archidiskodon imperator maibeni",2,0.4246,0.000381,0.4307985306,0,0,0,1,0
" including the morphologically typical ""Huntington mammoth""",a large machine with many wires,"Specimen formerly assigned to the junior synonym M. jeffersonii, now suggested to be a hybrid between Columbian and woolly mammoths, at the American Museum of Natural History (left), and 1909 life restoration by Charles R. Knight based on the same specimen",1,0.4177,1.65E-05,0.2234795988,0,0,0,1,0
A convex backs like Asian elephants of convex backs like Asian elephants in a convex backs like Asian elephants,a group of people in a circle,Size (blue) compared to a human and other mammoths,2,0.443,0.02579,0.2948110402,0,0,0,1,0
a large rock structure in a field,a large rock structure in a field,"Outcrops on Goat Rock Beach, possibly used as rubbing rocks by Columbian mammoths or mastodons",1,0.2788,0.2788,0.3311259449,0,0,0,1,0
This is supported by fossil assemblages such as the Dent Site in Colorado and the Waco Mammoth National Monument in Waco,a pile of dirt,"Female ""mammoth W"" (left) and male ""Q"", with juveniles ""R"" and ""T"" (right), at the Waco Mammoth National Monument",1,0.1677,5.45E-05,0.3649230003,0,0,0,0,0
The site is the opposite scenario of that in Waco; all but one of the at least 55 skeletons—additional skeletons are excavated each year—are male,a black bird on a pile of leaves,"Male ""Murray"" specimen (left) and footprints of a struggling mammoth (arrows), at the Hot Springs Mammoth Site",1,0.231,1.00E-07,0.3395416737,0,0,0,0,0
" but plant remains were discovered between the pelvis and ribs of the ""Huntington mammoth"" when it was excavated in Utah",a large metal object with a hole in it,"Underside of the skull of a male La Brea specimen nicknamed ""Zed"", showing upper molarsSkull and teeth of the male ""Rawlins mammoth"", University of Wyoming Geological Museum",1,0.973,1.25E-06,0.2794704437,0,0,0,0,0
"[35]
a skeleton of a dinosaur",a skeleton of a dinosaur,"Skeleton of a juvenile at the Natural History Museum of UtahCast of the male ""Huntington mammoth"", which was old and sick when it died, at the NHMU",1,0.1995,0.1414,0.5051506758,0,0,0,0,0
Wooded areas also occurred; although mammoths would not have preferred forests,a group of monkeys in a forest," Environment around the La Brea Tar Pits, with Columbian mammoth herd in the background, by Knight, 1921",1,0.387,0.000498,0.4327087104,0,0,0,1,0
and is the largest mounted mammoth specimen in the United States,a skeleton in a museum,"Skeleton found with Clovis points at the Dent Site, the first evidence of mammoth-hunting in America, Carnegie Museum of Natural History13,500–13,000 year old Clovis points at Cleveland Museum of Natural History",1,0.6416,0.000594,0.5630164742,0,0,0,1,0
the toothcomb,a close up of a person's hand," Fossil evidence for the evolution of the toothcomb, a trait shared by lemurs with their closest relatives, the lorisoids, provides insight into both the evolutionary history of strepsirrhines and the lemur colonization of Madagascar.",1,0.4248,0.01987,0.4540418983,0,0,0,0,0
lemurs ranged across the entire island inhabiting a wide variety of habitats,a large panda bear sitting on a tree branch," The diademed sifaka (Propithecus diadema) is one of the largest of the living lemurs, comparable in size to the indri. It lives in the rainforests of Madagascar and eats a varied diet of leaves and fruit.",1,0.1467,0.0002968,0.3878729045,0,0,0,0,0
"[4]
The first printed attestation of the word for the apes is in Dutch physician Jacobus Bontius' 1631 Historiae naturalis et medicae Indiae orientalis",a drawing of a person," Sketch of ""The Man of the Woods"" by George Edwards, 1758",2,0.299,0.0006146,0.4110008478,0,0,0,0,0
according to molecular evidence) and the orangutans split from the African great ape lineage between 19,a group of monkeys," Flanged male Bornean, Sumatran and Tapanuli orangutans",1,0.273,0.000552,0.455553174,0,0,0,0,0
[33] Tapanuli orangutans resemble Sumatran orangutans more than Bornean orangutans in body build and fur colour,a group of monkeys,Adult male (left) and female Tapanuli orangutans,1,0.546,0.0001616,0.4347175658,0,0,0,0,0
Orangutans are mainly arboreal and inhabit tropical rainforest,a person in a tree,"Play media Wild orangutan in the Danum Valley (Sabah, Malaysia, Borneo island)",1,0.928,0.0003474,0.4740352333,0,0,0,0,0
Orangutans are also known to visit mineral licks at the clay or sandstone-like walls of cliffs or earth depressions,a monkey holding a monkey," Although orangutans may consume leaves, shoots, and bird eggs, fruit is the most important part of their diet.",1,0.2637,3.16E-06,0.2393067628,0,0,0,0,0
[52] Both resident and transient orangutans aggregate on large fruiting trees to feed,a pine cone on a tree,Orangutans are the least social of the great apes.,1,0.585,6.00E-07,0.4369865954,0,0,0,0,0
its climbing skills improve and it will travel through the canopy holding hands with other orangutans,a monkey from a tree,Mother orangutan with young,1,0.613,9.71E-05,0.5282275677,0,0,0,0,0
Orangutans build nests specialised for either day or night use,a group of animals in a grassy area with leaves,An orangutan lying in its nest,1,0.5376,1.97E-06,0.3214177489,0,0,0,0,0
"[80]
a monkey in a cage",a monkey in a cage,Play media An orangutan imitating human speech[68],1,0.2512,0.1431,0.6932303309,0,0,0,0,0
a brown orangutan holding a stick,a brown orangutan holding a stick,An orangutan at the San Diego Zoo using a tool to extract orange-juice concentrate,1,0.2935,0.2935,0.4990998805,0,0,0,0,0
[99] Galdikas became an outspoken advocate for orangutans and the preservation of their rainforest habitat,Birute Galdikas holding a microphone and a vase with flowers,Orangutan researcher Birutė Galdikas presenting her book about orangutans,2,0.43,0.0901,0.3626917899,0,0,0,0,1
notably in the 1832 Walter Scott novel Count Robert of Paris and the 1841 Edgar Allan Poe short story The Murders in the Rue Morgue where the ape was trained to murder by his human master,a black and white photo of a man and a woman dancing," 1870 illustration for ""The Murders in the Rue Morgue"" by Daniel Vierge",2,0.5757,0.001642,0.425208509,0,0,0,0,0
The ape was recorded to have shunned the company of other animals,a dog in a garment,The Female Orang – Utan (Jenny sitting in a chair)[102] c. 1830s,1,0.2708,0.0501,0.354545027,0,0,0,0,0
A major factor has been the conversion of vast areas of tropical forest to palm oil plantations in response to international demand,a dirt field with a lot of trash in it,Deforestation for palm oil production in Indonesia,1,0.278,0.0822,0.2783883512,0,0,0,0,0
The largest of these is the Borneo Orangutan Survival (BOS) Foundation,a man holding a moose," Zoologische Gesellschaft Frankfurt Programm Director Peter Pratje works with orangutans in Bukit Tigapuluh, Indonesia.",1,0.2268,8.62E-05,0.3943161666,0,0,0,0,0
as are woods adjacent to rivers or reed beds; in Ireland it favours thickets on the shores of small lakes,a dirt path through a forest,Deciduous woodland is the preferred breeding habitat.,1,0.2446,0.03062,0.4515124559,0,0,0,0,0
[40][41] The garden warbler is a host of the common cuckoo,a bird with a long tail sitting on a stump,The common cuckoo is a brood parasite of the garden warbler.,1,0.516,0.00736,0.3921474516,1,0,0,0,0
Lowe thought that its closest relatives may have been black crake of Africa,a bird standing on the ground,Inaccessible Island rail,2,0.2952,0.0001632,0.4202910662,0,0,0,0,0
The Inaccessible Island rail is the smallest living flightless bird in the world,a person holding a small animal," Inaccessible Island rail, showing the small flightless wings",1,0.9478,0.0009346,0.4716445208,0,0,0,0,1
The Inaccessible rail is endemic to the uninhabited Inaccessible Island in the Tristan da Cunha group in the mid-Atlantic Ocean,a large green cliff,Tussock grass lowlands and steep cliffs from the shore of Inaccessible Island,2,0.547,0.006073,0.2430541813,0,0,0,1,0
The foraging method used by the Inaccessible Island rail is slow and deliberate and has been compared to that of a mouse,a frog in the dirt,Inaccessible Island rails forage under tussock grass,1,0.9697,0.00248,0.3992649913,0,0,0,0,0
The nests are situated at the base of ferns with tussock grass,close-up of a plant,Inaccessible Island rails often nest in tussock grass,1,0.4639,0.0001231,0.4813479781,0,0,0,0,0
They noted that the landbirds alarm-called when brown skuas were seen,a bird on the ground,Tristan thrushes prey on rail chicks,2,0.3506,0.01042,0.526202023,0,0,0,1,0
[21] In the 1950s they were highly sought after for scientific collections,a rock on a black background,A study skin of the Inaccessible Island rail,2,0.1968,0.0001292,0.4657665789,0,0,0,0,0
"[2][3]
The green parakeets of Mauritius and Réunion were usually treated together in historical literature",a bird with a long beak,"Copies of a plate of P. eques, depicting a male of the extinct Réunion parakeet, by François-Nicolas Martinet, 1770–1783. While the plate has been considered the type illustration of the species, major differences between hand-coloured copies mean it may not be adequate for this purpose",1,0.1942,9.63E-05,0.3682895899,0,0,0,1,0
unlabelled sketch from around 1770 by French artist Paul Philippe Sanguin de Jossigny of a ring-necked parakeet with a collar encircling the neck,a bird standing on a branch," Illustration of a male Réunion parakeet (top) by Martinet, 1760",1,0.5586,0.0004637,0.4079115391,0,0,0,1,0
A ringed parakeet though darker on a becomes dark green across,a bird on a branch," Male: note black collar, line from cere to eye, and red upper bill",1,0.3125,0.001318,0.5462055206,0,0,0,0,0
While the distribution of the species is tied to native forests,a view of a mountain range," Black River Gorges National Park, where this species is mainly found",2,0.292,0.0963,0.2978610396,0,0,0,1,0
a green bird on a branch,a green bird on a branch,Female: note light green collar,2,0.2754,0.2754,0.5515087843,0,0,0,1,0
Incubation takes about 21–25 days and is done entirely by the female,a person holding a lizard,Hand-reared chick,1,0.2184,0.002748,0.4677280784,0,0,0,0,0
more than 25% of the plant species taken consisted of Calophyllum tacamahaca,a close-up of a plant,Calophyllum tacamahaca is part of the diet of this parakeet,1,0.465,0.001327,0.5252708197,0,0,0,0,0
and only rose-ringed parakeets were nesting in the Macabé Ridge area for several years,a frog on a leaf," Rose-ringed parakeet on Mauritius: this related species was introduced around 1886, and competes for nest-sites and probably some food.",1,0.2734,8.40E-06,0.5264812708,0,0,0,1,0
a drawing of a battle scene,a drawing of a battle scene," Depiction of Dutch activities on Mauritius in 1598, with various parrots above, and a dodo at the left",1,0.2703,0.2703,0.3057059944,0,0,0,0,0
The Mauritius kestrel was by 1973 considered the rarest bird in the world,a bird perched on a branch," Mauritius kestrel awaiting release in 1989; this species was considered the rarest bird in the world by 1973 but was saved through captive breeding, an approach later successfully applied to the echo parakeet",1,0.95,7.45E-05,0.4614248872,0,0,0,1,0
the russet sparrow is found in Sakhalin,a bird perched on a branch," Breeding male in Kullu, India",2,0.3545,0.002012,0.5740712881,0,0,0,0,0
[58] The Japanese artist Hokusai portrayed the russet sparrow,a painting of flowers," The c. 1830 woodblock ""Hibiscus and Sparrow"" by the Japanese artist Hokusai, which portrays the russet sparrow",1,0.5703,0.10223,0.4953587651,0,0,0,0,0
the pied butcherbird can generally be found breeding from winter to summer; eggs are laid anywhere from July to December,a black and white bird on a branch,"Play media Rush Creek, SE Queensland, Australia",2,0.4849,0.1676,0.6254620552,0,0,0,0,0
The Condor Recovery Center at Oakland Zoo treats condors that are ill from lead poisoning,a close up of a bird," The California condor once numbered only 22 birds, but conservation measures have raised that number to over 500 today.",1,0.6157,0.000985,0.544778347,0,0,0,0,1
a person in a dress,a person in a dress," Franziska Schanzkowska, c. 1913",2,0.2131,0.2131,0.3822945058,0,0,0,0,1
